chain;date;nb_holders
Ethereum;2021-11-01;15967
Ethereum;2021-11-02;16100
Ethereum;2021-11-03;16212
Ethereum;2021-11-04;16446
Ethereum;2021-11-05;16581
Ethereum;2021-11-06;16690
Ethereum;2021-11-07;16700
Ethereum;2021-11-08;16811
Ethereum;2021-11-09;16938
Ethereum;2021-11-10;17155
Ethereum;2021-11-11;17289
Ethereum;2021-11-12;17455
Ethereum;2021-11-13;17590
Ethereum;2021-11-14;17661
Ethereum;2021-11-15;17795
Ethereum;2021-11-16;17998
Ethereum;2021-11-17;18216
Ethereum;2021-11-18;18433
Ethereum;2021-11-19;18547
Ethereum;2021-11-20;18657
Ethereum;2021-11-21;18746
Ethereum;2021-11-22;18936
Ethereum;2021-11-23;19090
Ethereum;2021-11-24;19338
Ethereum;2021-11-25;19482
Ethereum;2021-11-26;19485
Ethereum;2021-11-27;19660
Ethereum;2021-11-28;19791
Ethereum;2021-11-29;19977
Ethereum;2021-11-30;20214
Ethereum;2021-12-01;20388
Ethereum;2021-12-02;20689
Ethereum;2021-12-03;20874
Ethereum;2021-12-04;21096
Ethereum;2021-12-05;21283
Ethereum;2021-12-06;21452
Ethereum;2021-12-07;21773
Ethereum;2021-12-08;21969
Ethereum;2021-12-09;22196
Ethereum;2021-12-10;22319
Ethereum;2021-12-11;22445
Ethereum;2021-12-12;23064
Ethereum;2021-12-13;25260
Ethereum;2021-12-14;26395
Ethereum;2021-12-15;27145
Ethereum;2021-12-16;30446
Ethereum;2021-12-17;30516
Ethereum;2021-12-18;30698
Ethereum;2021-12-19;30964
Ethereum;2021-12-20;30971
Ethereum;2021-12-21;30939
Ethereum;2021-12-22;30948
Ethereum;2021-12-23;30965
Ethereum;2021-12-24;30972
Ethereum;2021-12-25;30927
Ethereum;2021-12-26;30955
Ethereum;2021-12-27;30998
Ethereum;2021-12-28;31057
Ethereum;2021-12-29;31086
Ethereum;2021-12-30;31058
Ethereum;2021-12-31;31054
Ethereum;2022-01-01;31107
Ethereum;2022-01-02;31145
Ethereum;2022-01-03;31310
Ethereum;2022-01-04;31659
Ethereum;2022-01-05;31916
Ethereum;2022-01-06;32149
Ethereum;2022-01-07;32298
Ethereum;2022-01-08;32454
Ethereum;2022-01-09;32592
Ethereum;2022-01-10;32734
Ethereum;2022-01-11;33078
Ethereum;2022-01-12;33297
Ethereum;2022-01-13;33464
Ethereum;2022-01-14;33708
Ethereum;2022-01-15;33943
Ethereum;2022-01-16;34115
Ethereum;2022-01-17;34246
Ethereum;2022-01-18;34954
Ethereum;2022-01-19;35136
Ethereum;2022-01-20;35405
Ethereum;2022-01-21;35626
Ethereum;2022-01-22;35728
Ethereum;2022-01-23;35847
Ethereum;2022-01-24;36074
Ethereum;2022-01-25;36247
Ethereum;2022-01-26;36438
Ethereum;2022-01-27;36563
Ethereum;2022-01-28;36665
Ethereum;2022-01-29;36747
Ethereum;2022-01-30;36842
Ethereum;2022-01-31;37001
Ethereum;2022-02-01;37133
Ethereum;2022-02-02;37314
Ethereum;2022-02-03;37389
Ethereum;2022-02-04;37481
Ethereum;2022-02-05;37591
Ethereum;2022-02-06;37755
Ethereum;2022-02-07;37914
Ethereum;2022-02-08;37997
Ethereum;2022-02-09;38095
Ethereum;2022-02-10;38257
Ethereum;2022-02-11;38442
Ethereum;2022-02-12;38529
Ethereum;2022-02-13;38644
Ethereum;2022-02-14;38722
Ethereum;2022-02-15;38844
Ethereum;2022-02-16;38969
Ethereum;2022-02-17;39077
Ethereum;2022-02-18;39137
Ethereum;2022-02-19;39196
Ethereum;2022-02-20;39248
Ethereum;2022-02-21;39277
Ethereum;2022-02-22;39340
Ethereum;2022-02-23;39375
Ethereum;2022-02-24;39421
Ethereum;2022-02-25;39454
Ethereum;2022-02-26;39529
Ethereum;2022-02-27;39658
Ethereum;2022-02-28;39745
Ethereum;2022-03-01;39829
Ethereum;2022-03-02;39883
Ethereum;2022-03-03;39953
Ethereum;2022-03-04;39990
Ethereum;2022-03-05;40019
Ethereum;2022-03-06;40036
Ethereum;2022-03-07;40033
Ethereum;2022-03-08;40061
Ethereum;2022-03-09;40082
Ethereum;2022-03-10;40104
Ethereum;2022-03-11;40119
Ethereum;2022-03-12;40140
Ethereum;2022-03-13;40151
Ethereum;2022-03-14;40164
Ethereum;2022-03-15;40200
Ethereum;2022-03-16;40203
Ethereum;2022-03-17;40212
Ethereum;2022-03-18;40226
Ethereum;2022-03-19;40239
Ethereum;2022-03-20;40248
Ethereum;2022-03-21;40247
Ethereum;2022-03-22;40256
Ethereum;2022-03-23;40285
Ethereum;2022-03-24;40296
Ethereum;2022-03-25;40329
Ethereum;2022-03-26;40388
Ethereum;2022-03-27;40393
Ethereum;2022-03-28;40426
Ethereum;2022-03-29;40422
Ethereum;2022-03-30;40420
Ethereum;2022-03-31;40446
Ethereum;2022-04-01;40442
Ethereum;2022-04-02;40445
Ethereum;2022-04-03;40466
Ethereum;2022-04-04;40469
Ethereum;2022-04-05;40479
Ethereum;2022-04-06;40491
Ethereum;2022-04-07;40504
Ethereum;2022-04-08;40512
Ethereum;2022-04-09;40534
Ethereum;2022-04-10;40609
Arbitrum;2021-11-01;298
Arbitrum;2021-11-02;309
Arbitrum;2021-11-03;313
Arbitrum;2021-11-04;320
Arbitrum;2021-11-05;329
Arbitrum;2021-11-06;341
Arbitrum;2021-11-07;349
Arbitrum;2021-11-08;364
Arbitrum;2021-11-09;377
Arbitrum;2021-11-10;375
Arbitrum;2021-11-11;376
Arbitrum;2021-11-12;383
Arbitrum;2021-11-13;386
Arbitrum;2021-11-14;394
Arbitrum;2021-11-15;396
Arbitrum;2021-11-16;407
Arbitrum;2021-11-17;412
Arbitrum;2021-11-18;417
Arbitrum;2021-11-19;421
Arbitrum;2021-11-20;421
Arbitrum;2021-11-21;421
Arbitrum;2021-11-22;427
Arbitrum;2021-11-23;434
Arbitrum;2021-11-24;431
Arbitrum;2021-11-25;437
Arbitrum;2021-11-26;443
Arbitrum;2021-11-27;446
Arbitrum;2021-11-28;454
Arbitrum;2021-11-29;456
Arbitrum;2021-11-30;454
Arbitrum;2021-12-01;458
Arbitrum;2021-12-02;464
Arbitrum;2021-12-03;465
Arbitrum;2021-12-04;473
Arbitrum;2021-12-05;483
Arbitrum;2021-12-06;482
Arbitrum;2021-12-07;483
Arbitrum;2021-12-08;493
Arbitrum;2021-12-09;512
Arbitrum;2021-12-10;529
Arbitrum;2021-12-11;558
Arbitrum;2021-12-12;568
Arbitrum;2021-12-13;591
Arbitrum;2021-12-14;596
Arbitrum;2021-12-15;606
Arbitrum;2021-12-16;629
Arbitrum;2021-12-17;654
Arbitrum;2021-12-18;666
Arbitrum;2021-12-19;693
